1644515891670	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 131 1 0

1644515891676	PolyGesture	InputEvent	SelectionChanged 131 131

1644515891686	PolyGesture	InputEvent	BeginBatchEdit

1644515891691	PolyGesture	InputEvent	BeginBatchEdit

1644515891692	PolyGesture	InputEvent	BeginBatchEdit

1644515891693	PolyGesture	InputEvent	BeginBatchEdit

1644515891710	PolyGesture	InputEvent	BeginBatchEdit

1644515891712	PolyGesture	InputEvent	BeginBatchEdit

1644515891713	PolyGesture	InputEvent	BeginBatchEdit

1644515891714	PolyGesture	InputEvent	BeginBatchEdit

1644515891714	PolyGesture	InputEvent	BeginBatchEdit

1644515891716	PolyGesture	InputEvent	BeginBatchEdit

1644515891717	PolyGesture	InputEvent	BeginBatchEdit

1644515891739	PolyGesture	InputEvent	BeginBatchEdit

1644515891917	PolyGesture	InputEvent	BeginBatchEdit

1644515891919	PolyGesture	InputEvent	BeginBatchEdit

1644515892307	PolyGesture	InputEvent	TouchEvent (cursorPosition=131): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=948.0, y[0]=385.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=90086438, downTime=90086438, deviceId=6, source=0x1002, displayId=0 }
1644515892381	PolyGesture	InputEvent	TouchEvent (cursorPosition=131): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=948.0, y[0]=385.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=90086513, downTime=90086438, deviceId=6, source=0x1002, displayId=0 }
1644515892387	PolyGesture	InputEvent	SelectionChanged 358 358

1644515892408	PolyGesture	InputEvent	BeginBatchEdit

