1644166881375	PolyGesture	InputEvent	TouchEvent (cursorPosition=81): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=361.0, y[0]=219.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=32900093, downTime=32900093, deviceId=4, source=0x1002, displayId=0 }
1644166881413	PolyGesture	InputEvent	TouchEvent (cursorPosition=81): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=361.0, y[0]=219.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=32900140, downTime=32900093, deviceId=4, source=0x1002, displayId=0 }
1644166881423	PolyGesture	InputEvent	SelectionChanged 187 187

1644166881439	PolyGesture	InputEvent	BeginBatchEdit

1644166881462	PolyGesture	InputEvent	BeginBatchEdit

1644166881669	PolyGesture	InputEvent	BeginBatchEdit

1644166881671	PolyGesture	InputEvent	BeginBatchEdit

1644166881690	PolyGesture	InputEvent	BeginBatchEdit

1644166882357	PolyGesture	InputEvent	TouchEvent (cursorPosition=187): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=358.0, y[0]=191.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=32901074, downTime=32901074, deviceId=4, source=0x1002, displayId=0 }
1644166882387	PolyGesture	InputEvent	TouchEvent (cursorPosition=187): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=358.0, y[0]=191.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=32901113, downTime=32901074, deviceId=4, source=0x1002, displayId=0 }
1644166882407	PolyGesture	InputEvent	SelectionChanged 132 132

1644166882433	PolyGesture	InputEvent	BeginBatchEdit

1644166882458	PolyGesture	InputEvent	BeginBatchEdit

1644166882660	PolyGesture	InputEvent	BeginBatchEdit

1644166882661	PolyGesture	InputEvent	BeginBatchEdit

1644166882683	PolyGesture	InputEvent	BeginBatchEdit

1644166883574	PolyGesture	InputEvent	BeginBatchEdit

1644166883598	PolyGesture	InputEvent	SelectionChanged 0 0

1644166883601	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 515 515

1644166883606	PolyGesture	InputEvent	SelectionChanged 131 131

1644166883607	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 131 1 0

1644166883612	PolyGesture	InputEvent	SelectionChanged 131 131

1644166883619	PolyGesture	InputEvent	BeginBatchEdit

1644166883623	PolyGesture	InputEvent	BeginBatchEdit

1644166883628	PolyGesture	InputEvent	BeginBatchEdit

1644166883629	PolyGesture	InputEvent	BeginBatchEdit

1644166883637	PolyGesture	InputEvent	BeginBatchEdit

1644166883640	PolyGesture	InputEvent	BeginBatchEdit

1644166883640	PolyGesture	InputEvent	BeginBatchEdit

1644166883642	PolyGesture	InputEvent	BeginBatchEdit

1644166883644	PolyGesture	InputEvent	BeginBatchEdit

1644166883645	PolyGesture	InputEvent	BeginBatchEdit

1644166883646	PolyGesture	InputEvent	BeginBatchEdit

