1644605844155	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 515 515

1644605844159	PolyGesture	InputEvent	SelectionChanged 131 131

1644605844159	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 131 1 0

1644605844163	PolyGesture	InputEvent	SelectionChanged 131 131

1644605844176	PolyGesture	InputEvent	BeginBatchEdit

1644605844181	PolyGesture	InputEvent	BeginBatchEdit

1644605844181	PolyGesture	InputEvent	BeginBatchEdit

1644605844199	PolyGesture	InputEvent	BeginBatchEdit

1644605844200	PolyGesture	InputEvent	BeginBatchEdit

1644605844201	PolyGesture	InputEvent	BeginBatchEdit

1644605844203	PolyGesture	InputEvent	BeginBatchEdit

1644605844204	PolyGesture	InputEvent	BeginBatchEdit

1644605844204	PolyGesture	InputEvent	BeginBatchEdit

1644605844206	PolyGesture	InputEvent	BeginBatchEdit

1644605844207	PolyGesture	InputEvent	BeginBatchEdit

1644605844208	PolyGesture	InputEvent	BeginBatchEdit

1644605844407	PolyGesture	InputEvent	BeginBatchEdit

1644605844408	PolyGesture	InputEvent	BeginBatchEdit

1644605845557	PolyGesture	InputEvent	TouchEvent (cursorPosition=131): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=952.0, y[0]=374.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=31096482, downTime=31096482, deviceId=4, source=0x1002, displayId=0 }
1644605845618	PolyGesture	InputEvent	TouchEvent (cursorPosition=131): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=952.0, y[0]=374.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=31096543, downTime=31096482, deviceId=4, source=0x1002, displayId=0 }
1644605845622	PolyGesture	InputEvent	SelectionChanged 312 312

1644605845637	PolyGesture	InputEvent	BeginBatchEdit

1644605845653	PolyGesture	InputEvent	BeginBatchEdit

1644605845861	PolyGesture	InputEvent	BeginBatchEdit

1644605845871	PolyGesture	InputEvent	BeginBatchEdit

1644605845897	PolyGesture	InputEvent	BeginBatchEdit

1644605848995	PolyGesture	InputEvent	BeginBatchEdit

1644605849018	PolyGesture	InputEvent	SelectionChanged 0 0

1644605849023	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 514 514

1644605849029	PolyGesture	InputEvent	SelectionChanged 311 311

1644605849030	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 309 3 2

1644605849035	PolyGesture	InputEvent	SelectionChanged 311 311

1644605849048	PolyGesture	InputEvent	BeginBatchEdit

1644605849050	PolyGesture	InputEvent	BeginBatchEdit

1644605849050	PolyGesture	InputEvent	BeginBatchEdit

1644605849073	PolyGesture	InputEvent	BeginBatchEdit

1644605849074	PolyGesture	InputEvent	BeginBatchEdit

1644605849075	PolyGesture	InputEvent	BeginBatchEdit

1644605849075	PolyGesture	InputEvent	BeginBatchEdit

1644605849076	PolyGesture	InputEvent	BeginBatchEdit

1644605849107	PolyGesture	InputEvent	BeginBatchEdit

1644605849108	PolyGesture	InputEvent	BeginBatchEdit

1644605849110	PolyGesture	InputEvent	BeginBatchEdit

1644605849110	PolyGesture	InputEvent	BeginBatchEdit

1644605849112	PolyGesture	InputEvent	BeginBatchEdit

1644605849113	PolyGesture	InputEvent	BeginBatchEdit

1644605849114	PolyGesture	InputEvent	BeginBatchEdit

1644605849135	PolyGesture	InputEvent	BeginBatchEdit

1644605849137	PolyGesture	InputEvent	BeginBatchEdit

1644605849138	PolyGesture	InputEvent	BeginBatchEdit

1644605849170	PolyGesture	InputEvent	BeginBatchEdit

1644605849171	PolyGesture	InputEvent	BeginBatchEdit

1644605849344	PolyGesture	InputEvent	BeginBatchEdit

1644605849348	PolyGesture	InputEvent	BeginBatchEdit

1644605850395	PolyGesture	InputEvent	TouchEvent (cursorPosition=311): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=672.0, y[0]=534.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=31101311, downTime=31101311, deviceId=4, source=0x1002, displayId=0 }
