1647350529645	PolyGesture	InputEvent	BeginBatchEdit

1647350529646	PolyGesture	InputEvent	BeginBatchEdit

1647350529648	PolyGesture	InputEvent	BeginBatchEdit

1647350529849	PolyGesture	InputEvent	BeginBatchEdit

1647350530796	PolyGesture	InputEvent	TouchEvent (cursorPosition=131): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=753.0, y[0]=235.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=430682746, downTime=430682746, deviceId=6, source=0x1002, displayId=0 }
1647350530855	PolyGesture	InputEvent	TouchEvent (cursorPosition=131): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=753.0, y[0]=235.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=430682815, downTime=430682746, deviceId=6, source=0x1002, displayId=0 }
1647350530863	PolyGesture	InputEvent	SelectionChanged 313 313

1647350530889	PolyGesture	InputEvent	BeginBatchEdit

1647350530927	PolyGesture	InputEvent	BeginBatchEdit

1647350531135	PolyGesture	InputEvent	BeginBatchEdit

1647350532419	PolyGesture	InputEvent	TouchEvent (cursorPosition=313): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=753.0, y[0]=234.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=430684367, downTime=430684367, deviceId=6, source=0x1002, displayId=0 }
1647350532462	PolyGesture	InputEvent	TouchEvent (cursorPosition=313): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=753.0, y[0]=234.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=430684422, downTime=430684367, deviceId=6, source=0x1002, displayId=0 }
1647350533179	PolyGesture	InputEvent	TouchEvent (cursorPosition=313): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=754.0, y[0]=235.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=430685108, downTime=430685108, deviceId=6, source=0x1002, displayId=0 }
1647350533209	PolyGesture	InputEvent	TouchEvent (cursorPosition=313): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=754.0, y[0]=235.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=430685160, downTime=430685108, deviceId=6, source=0x1002, displayId=0 }
1647350534323	PolyGesture	InputEvent	SelectionChanged 312 312

1647350534340	PolyGesture	InputEvent	BeginBatchEdit

1647350534350	PolyGesture	InputEvent	BeginBatchEdit

1647350534550	PolyGesture	InputEvent	BeginBatchEdit

1647350535723	PolyGesture	InputEvent	BeginBatchEdit

1647350535749	PolyGesture	InputEvent	SelectionChanged 0 0

1647350535753	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 514 514

1647350535759	PolyGesture	InputEvent	SelectionChanged 311 311

1647350535760	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 311 1 0

1647350535764	PolyGesture	InputEvent	SelectionChanged 311 311

