1643971181692	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 515 515

1643971181697	PolyGesture	InputEvent	SelectionChanged 131 131

1643971181698	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 131 1 0

1643971181703	PolyGesture	InputEvent	SelectionChanged 131 131

1643971181717	PolyGesture	InputEvent	BeginBatchEdit

1643971181719	PolyGesture	InputEvent	BeginBatchEdit

1643971181720	PolyGesture	InputEvent	BeginBatchEdit

1643971181738	PolyGesture	InputEvent	BeginBatchEdit

1643971181739	PolyGesture	InputEvent	BeginBatchEdit

1643971181739	PolyGesture	InputEvent	BeginBatchEdit

1643971181740	PolyGesture	InputEvent	BeginBatchEdit

1643971181740	PolyGesture	InputEvent	BeginBatchEdit

1643971181749	PolyGesture	InputEvent	BeginBatchEdit

1643971181753	PolyGesture	InputEvent	BeginBatchEdit

1643971181753	PolyGesture	InputEvent	BeginBatchEdit

1643971181754	PolyGesture	InputEvent	BeginBatchEdit

1643971181950	PolyGesture	InputEvent	BeginBatchEdit

1643971181954	PolyGesture	InputEvent	BeginBatchEdit

1643971182244	PolyGesture	InputEvent	TouchEvent (cursorPosition=131): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=758.0, y[0]=243.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=82386015, downTime=82386015, deviceId=6, source=0x1002, displayId=0 }
1643971182289	PolyGesture	InputEvent	TouchEvent (cursorPosition=131): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=758.0, y[0]=243.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=82386070, downTime=82386015, deviceId=6, source=0x1002, displayId=0 }
1643971182298	PolyGesture	InputEvent	SelectionChanged 313 313

1643971182318	PolyGesture	InputEvent	BeginBatchEdit

1643971182338	PolyGesture	InputEvent	BeginBatchEdit

1643971182544	PolyGesture	InputEvent	BeginBatchEdit

1643971182546	PolyGesture	InputEvent	BeginBatchEdit

1643971182566	PolyGesture	InputEvent	BeginBatchEdit

1643971183069	PolyGesture	InputEvent	SelectionChanged 312 312

1643971183095	PolyGesture	InputEvent	BeginBatchEdit

1643971183113	PolyGesture	InputEvent	BeginBatchEdit

1643971183314	PolyGesture	InputEvent	BeginBatchEdit

1643971183322	PolyGesture	InputEvent	BeginBatchEdit

1643971183337	PolyGesture	InputEvent	BeginBatchEdit

1643971183782	PolyGesture	InputEvent	BeginBatchEdit

1643971183804	PolyGesture	InputEvent	SelectionChanged 0 0

1643971183805	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 514 514

1643971183811	PolyGesture	InputEvent	SelectionChanged 311 311

1643971183811	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 309 3 2

1643971183816	PolyGesture	InputEvent	SelectionChanged 311 311

1643971183829	PolyGesture	InputEvent	BeginBatchEdit

1643971183832	PolyGesture	InputEvent	BeginBatchEdit

1643971183833	PolyGesture	InputEvent	BeginBatchEdit

1643971183844	PolyGesture	InputEvent	BeginBatchEdit

1643971183846	PolyGesture	InputEvent	BeginBatchEdit

1643971183846	PolyGesture	InputEvent	BeginBatchEdit

1643971183847	PolyGesture	InputEvent	BeginBatchEdit

1643971183848	PolyGesture	InputEvent	BeginBatchEdit

1643971183857	PolyGesture	InputEvent	BeginBatchEdit

1643971183858	PolyGesture	InputEvent	BeginBatchEdit

1643971183863	PolyGesture	InputEvent	BeginBatchEdit

1643971183864	PolyGesture	InputEvent	BeginBatchEdit

1643971183865	PolyGesture	InputEvent	BeginBatchEdit

1643971183866	PolyGesture	InputEvent	BeginBatchEdit

1643971183876	PolyGesture	InputEvent	BeginBatchEdit

1643971183877	PolyGesture	InputEvent	BeginBatchEdit

1643971183878	PolyGesture	InputEvent	BeginBatchEdit

1643971183879	PolyGesture	InputEvent	BeginBatchEdit

1643971183887	PolyGesture	InputEvent	BeginBatchEdit

1643971183888	PolyGesture	InputEvent	BeginBatchEdit

1643971184084	PolyGesture	InputEvent	BeginBatchEdit

1643971184084	PolyGesture	InputEvent	BeginBatchEdit

