1647596449893	PolyGesture	InputEvent	BeginBatchEdit

1647596449895	PolyGesture	InputEvent	BeginBatchEdit

1647596449904	PolyGesture	InputEvent	SelectionChanged 131 131

1647596449918	PolyGesture	InputEvent	BeginBatchEdit

1647596449936	PolyGesture	InputEvent	BeginBatchEdit

1647596450136	PolyGesture	InputEvent	BeginBatchEdit

1647596450138	PolyGesture	InputEvent	BeginBatchEdit

1647596450627	PolyGesture	InputEvent	SelectionChanged 132 132

1647596450642	PolyGesture	InputEvent	BeginBatchEdit

1647596450652	PolyGesture	InputEvent	BeginBatchEdit

1647596450852	PolyGesture	InputEvent	BeginBatchEdit

1647596450854	PolyGesture	InputEvent	BeginBatchEdit

1647596451525	PolyGesture	InputEvent	BeginBatchEdit

1647596451543	PolyGesture	InputEvent	SelectionChanged 0 0

1647596451544	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 515 515

1647596451550	PolyGesture	InputEvent	SelectionChanged 131 131

1647596451551	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 131 1 0

1647596451555	PolyGesture	InputEvent	SelectionChanged 131 131

1647596451563	PolyGesture	InputEvent	BeginBatchEdit

1647596451569	PolyGesture	InputEvent	BeginBatchEdit

1647596451570	PolyGesture	InputEvent	BeginBatchEdit

1647596451570	PolyGesture	InputEvent	BeginBatchEdit

1647596451580	PolyGesture	InputEvent	BeginBatchEdit

1647596451583	PolyGesture	InputEvent	BeginBatchEdit

1647596451585	PolyGesture	InputEvent	BeginBatchEdit

1647596451587	PolyGesture	InputEvent	BeginBatchEdit

1647596451587	PolyGesture	InputEvent	BeginBatchEdit

1647596451589	PolyGesture	InputEvent	BeginBatchEdit

1647596451590	PolyGesture	InputEvent	BeginBatchEdit

1647596451590	PolyGesture	InputEvent	BeginBatchEdit

1647596451791	PolyGesture	InputEvent	BeginBatchEdit

1647596451792	PolyGesture	InputEvent	BeginBatchEdit

1647596452278	PolyGesture	InputEvent	TouchEvent (cursorPosition=131): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=735.0, y[0]=306.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=598942900, downTime=598942900, deviceId=6, source=0x1002, displayId=0 }
1647596452304	PolyGesture	InputEvent	TouchEvent (cursorPosition=131): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=735.0, y[0]=306.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=598942934, downTime=598942900, deviceId=6, source=0x1002, displayId=0 }
1647596452310	PolyGesture	InputEvent	SelectionChanged 311 311

1647596452336	PolyGesture	InputEvent	BeginBatchEdit

1647596452368	PolyGesture	InputEvent	BeginBatchEdit

1647596452563	PolyGesture	InputEvent	BeginBatchEdit

1647596452574	PolyGesture	InputEvent	BeginBatchEdit

1647596452595	PolyGesture	InputEvent	BeginBatchEdit

1647596453009	PolyGesture	InputEvent	SelectionChanged 312 312

1647596453022	PolyGesture	InputEvent	BeginBatchEdit

1647596453033	PolyGesture	InputEvent	BeginBatchEdit

1647596453155	PolyGesture	InputEvent	SelectionChanged 313 313

1647596453168	PolyGesture	InputEvent	BeginBatchEdit

1647596453177	PolyGesture	InputEvent	BeginBatchEdit

