1647595861886	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beXl when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 517 517

1647595861891	PolyGesture	InputEvent	SelectionChanged 314 314

1647595861892	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beXl when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 310 3 4

1647595861896	PolyGesture	InputEvent	SelectionChanged 314 314

1647595861913	PolyGesture	InputEvent	BeginBatchEdit

1647595861919	PolyGesture	InputEvent	BeginBatchEdit

1647595861920	PolyGesture	InputEvent	BeginBatchEdit

1647595861922	PolyGesture	InputEvent	BeginBatchEdit

1647595861941	PolyGesture	InputEvent	BeginBatchEdit

1647595861941	PolyGesture	InputEvent	BeginBatchEdit

1647595861943	PolyGesture	InputEvent	BeginBatchEdit

1647595861943	PolyGesture	InputEvent	BeginBatchEdit

1647595861972	PolyGesture	InputEvent	BeginBatchEdit

1647595861973	PolyGesture	InputEvent	BeginBatchEdit

1647595861975	PolyGesture	InputEvent	BeginBatchEdit

1647595861978	PolyGesture	InputEvent	BeginBatchEdit

1647595861981	PolyGesture	InputEvent	BeginBatchEdit

1647595861983	PolyGesture	InputEvent	BeginBatchEdit

1647595862007	PolyGesture	InputEvent	BeginBatchEdit

1647595862008	PolyGesture	InputEvent	BeginBatchEdit

1647595862011	PolyGesture	InputEvent	BeginBatchEdit

1647595862012	PolyGesture	InputEvent	BeginBatchEdit

1647595862035	PolyGesture	InputEvent	BeginBatchEdit

1647595862035	PolyGesture	InputEvent	BeginBatchEdit

1647595862215	PolyGesture	InputEvent	BeginBatchEdit

1647595862216	PolyGesture	InputEvent	BeginBatchEdit

1647595862471	PolyGesture	InputEvent	BeginBatchEdit

1647595862483	PolyGesture	InputEvent	SelectionChanged 0 0

1647595862486	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 516 516

1647595862490	PolyGesture	InputEvent	SelectionChanged 313 313

1647595862491	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 310 4 3

1647595862494	PolyGesture	InputEvent	SelectionChanged 313 313

1647595862510	PolyGesture	InputEvent	BeginBatchEdit

1647595862515	PolyGesture	InputEvent	BeginBatchEdit

1647595862516	PolyGesture	InputEvent	BeginBatchEdit

1647595862518	PolyGesture	InputEvent	BeginBatchEdit

1647595862536	PolyGesture	InputEvent	BeginBatchEdit

1647595862537	PolyGesture	InputEvent	BeginBatchEdit

1647595862538	PolyGesture	InputEvent	BeginBatchEdit

1647595862538	PolyGesture	InputEvent	BeginBatchEdit

1647595862550	PolyGesture	InputEvent	BeginBatchEdit

1647595862550	PolyGesture	InputEvent	BeginBatchEdit

1647595862552	PolyGesture	InputEvent	BeginBatchEdit

1647595862553	PolyGesture	InputEvent	BeginBatchEdit

1647595862555	PolyGesture	InputEvent	BeginBatchEdit

