1647341806247	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 312 1 0

1647341806251	PolyGesture	InputEvent	SelectionChanged 312 312

1647341806259	PolyGesture	InputEvent	BeginBatchEdit

1647341806265	PolyGesture	InputEvent	BeginBatchEdit

1647341806266	PolyGesture	InputEvent	BeginBatchEdit

1647341806274	PolyGesture	InputEvent	BeginBatchEdit

1647341806276	PolyGesture	InputEvent	BeginBatchEdit

1647341806279	PolyGesture	InputEvent	BeginBatchEdit

1647341806281	PolyGesture	InputEvent	BeginBatchEdit

1647341806483	PolyGesture	InputEvent	BeginBatchEdit

1647341807084	PolyGesture	InputEvent	TouchEvent (cursorPosition=312): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=748.0, y[0]=203.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=423796275, downTime=423796275, deviceId=6, source=0x1002, displayId=0 }
1647341807191	PolyGesture	InputEvent	TouchEvent (cursorPosition=312): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=748.0, y[0]=203.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=423796392, downTime=423796275, deviceId=6, source=0x1002, displayId=0 }
1647341807199	PolyGesture	InputEvent	SelectionChanged 132 132

1647341807218	PolyGesture	InputEvent	BeginBatchEdit

1647341807253	PolyGesture	InputEvent	BeginBatchEdit

1647341807445	PolyGesture	InputEvent	BeginBatchEdit

1647341808219	PolyGesture	InputEvent	BeginBatchEdit

1647341808233	PolyGesture	InputEvent	SelectionChanged 0 0

1647341808236	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 514 514

1647341808243	PolyGesture	InputEvent	SelectionChanged 131 131

1647341808244	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 131 1 0

1647341808248	PolyGesture	InputEvent	SelectionChanged 131 131

1647341808256	PolyGesture	InputEvent	BeginBatchEdit

1647341808263	PolyGesture	InputEvent	BeginBatchEdit

1647341808264	PolyGesture	InputEvent	BeginBatchEdit

1647341808274	PolyGesture	InputEvent	BeginBatchEdit

1647341808277	PolyGesture	InputEvent	BeginBatchEdit

1647341808278	PolyGesture	InputEvent	BeginBatchEdit

1647341808281	PolyGesture	InputEvent	BeginBatchEdit

1647341808481	PolyGesture	InputEvent	BeginBatchEdit

