1647342535386	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXlen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 83 1 0

1647342535390	PolyGesture	InputEvent	SelectionChanged 83 83

1647342535401	PolyGesture	InputEvent	BeginBatchEdit

1647342535406	PolyGesture	InputEvent	BeginBatchEdit

1647342535407	PolyGesture	InputEvent	BeginBatchEdit

1647342535414	PolyGesture	InputEvent	BeginBatchEdit

1647342535417	PolyGesture	InputEvent	BeginBatchEdit

1647342535419	PolyGesture	InputEvent	BeginBatchEdit

1647342535421	PolyGesture	InputEvent	BeginBatchEdit

1647342535623	PolyGesture	InputEvent	BeginBatchEdit

1647342535822	PolyGesture	InputEvent	BeginBatchEdit

1647342535830	PolyGesture	InputEvent	SelectionChanged 0 0

1647342535832	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 517 517

1647342535839	PolyGesture	InputEvent	SelectionChanged 82 82

1647342535840	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 82 1 0

1647342535845	PolyGesture	InputEvent	SelectionChanged 82 82

1647342535855	PolyGesture	InputEvent	BeginBatchEdit

1647342535861	PolyGesture	InputEvent	BeginBatchEdit

1647342535862	PolyGesture	InputEvent	BeginBatchEdit

1647342535870	PolyGesture	InputEvent	BeginBatchEdit

1647342535872	PolyGesture	InputEvent	BeginBatchEdit

1647342535874	PolyGesture	InputEvent	BeginBatchEdit

1647342535877	PolyGesture	InputEvent	BeginBatchEdit

1647342536039	PolyGesture	InputEvent	BeginBatchEdit

1647342536040	PolyGesture	InputEvent	BeginBatchEdit

1647342536046	PolyGesture	InputEvent	SelectionChanged 0 0

1647342536049	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 516 516

1647342536056	PolyGesture	InputEvent	SelectionChanged 81 81

1647342536058	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 81 1 0

1647342536062	PolyGesture	InputEvent	SelectionChanged 81 81

1647342536071	PolyGesture	InputEvent	BeginBatchEdit

1647342536078	PolyGesture	InputEvent	BeginBatchEdit

1647342536078	PolyGesture	InputEvent	BeginBatchEdit

1647342536086	PolyGesture	InputEvent	BeginBatchEdit

1647342536088	PolyGesture	InputEvent	BeginBatchEdit

1647342536090	PolyGesture	InputEvent	BeginBatchEdit

1647342536093	PolyGesture	InputEvent	BeginBatchEdit

1647342536295	PolyGesture	InputEvent	BeginBatchEdit

1647342536688	PolyGesture	InputEvent	TouchEvent (cursorPosition=81): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=356.0, y[0]=115.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=424525879, downTime=424525879, deviceId=6, source=0x1002, displayId=0 }
1647342536796	PolyGesture	InputEvent	TouchEvent (cursorPosition=81): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=356.0, y[0]=115.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=424525996, downTime=424525879, deviceId=6, source=0x1002, displayId=0 }
1647342536804	PolyGesture	InputEvent	SelectionChanged 131 131

1647342536831	PolyGesture	InputEvent	BeginBatchEdit

1647342536868	PolyGesture	InputEvent	BeginBatchEdit

1647342537059	PolyGesture	InputEvent	BeginBatchEdit

1647342537725	PolyGesture	InputEvent	SelectionChanged 132 132

1647342537739	PolyGesture	InputEvent	BeginBatchEdit

1647342537752	PolyGesture	InputEvent	BeginBatchEdit

1647342537954	PolyGesture	InputEvent	BeginBatchEdit

1647342538279	PolyGesture	InputEvent	BeginBatchEdit

1647342538299	PolyGesture	InputEvent	SelectionChanged 0 0

1647342538301	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXllled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 517 517

1647342538307	PolyGesture	InputEvent	SelectionChanged 133 133

1647342538308	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXllled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 132 0 1

1647342538313	PolyGesture	InputEvent	SelectionChanged 133 133

1647342538322	PolyGesture	InputEvent	BeginBatchEdit

1647342538329	PolyGesture	InputEvent	BeginBatchEdit

1647342538329	PolyGesture	InputEvent	BeginBatchEdit

1647342538336	PolyGesture	InputEvent	BeginBatchEdit

1647342538339	PolyGesture	InputEvent	BeginBatchEdit

1647342538344	PolyGesture	InputEvent	BeginBatchEdit

1647342538348	PolyGesture	InputEvent	BeginBatchEdit

1647342538549	PolyGesture	InputEvent	BeginBatchEdit

1647342539393	PolyGesture	InputEvent	BeginBatchEdit

1647342539399	PolyGesture	InputEvent	SelectionChanged 0 0

1647342539401	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 516 516

1647342539406	PolyGesture	InputEvent	SelectionChanged 132 132

1647342539407	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 132 1 0

1647342539412	PolyGesture	InputEvent	SelectionChanged 132 132

1647342539420	PolyGesture	InputEvent	BeginBatchEdit

1647342539426	PolyGesture	InputEvent	BeginBatchEdit

1647342539427	PolyGesture	InputEvent	BeginBatchEdit

1647342539435	PolyGesture	InputEvent	BeginBatchEdit

1647342539438	PolyGesture	InputEvent	BeginBatchEdit

1647342539439	PolyGesture	InputEvent	BeginBatchEdit

1647342539442	PolyGesture	InputEvent	BeginBatchEdit

1647342539575	PolyGesture	InputEvent	BeginBatchEdit

1647342539576	PolyGesture	InputEvent	BeginBatchEdit

1647342539583	PolyGesture	InputEvent	SelectionChanged 0 0

1647342539586	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 515 515

1647342539593	PolyGesture	InputEvent	SelectionChanged 131 131

1647342539595	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 131 1 0

1647342539598	PolyGesture	InputEvent	SelectionChanged 131 131

1647342539607	PolyGesture	InputEvent	BeginBatchEdit

1647342539613	PolyGesture	InputEvent	BeginBatchEdit

1647342539614	PolyGesture	InputEvent	BeginBatchEdit

1647342539621	PolyGesture	InputEvent	BeginBatchEdit

1647342539625	PolyGesture	InputEvent	BeginBatchEdit

1647342539626	PolyGesture	InputEvent	BeginBatchEdit

1647342539629	PolyGesture	InputEvent	BeginBatchEdit

1647342539830	PolyGesture	InputEvent	BeginBatchEdit

1647342540518	PolyGesture	InputEvent	TouchEvent (cursorPosition=131): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=744.0, y[0]=247.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=424529709, downTime=424529709, deviceId=6, source=0x1002, displayId=0 }
1647342540640	PolyGesture	InputEvent	TouchEvent (cursorPosition=131): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=744.0, y[0]=247.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=424529840, downTime=424529709, deviceId=6, source=0x1002, displayId=0 }
1647342540648	PolyGesture	InputEvent	SelectionChanged 312 312

1647342540673	PolyGesture	InputEvent	BeginBatchEdit

1647342540710	PolyGesture	InputEvent	BeginBatchEdit

1647342540902	PolyGesture	InputEvent	BeginBatchEdit

1647342541569	PolyGesture	InputEvent	BeginBatchEdit

1647342541586	PolyGesture	InputEvent	SelectionChanged 0 0

