1647340680063	PolyGesture	InputEvent	BeginBatchEdit

1647340680068	PolyGesture	InputEvent	BeginBatchEdit

1647340680074	PolyGesture	InputEvent	BeginBatchEdit

1647340680275	PolyGesture	InputEvent	BeginBatchEdit

1647340680779	PolyGesture	InputEvent	TouchEvent (cursorPosition=312): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=753.0, y[0]=136.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=422669969, downTime=422669969, deviceId=6, source=0x1002, displayId=0 }
1647340680844	PolyGesture	InputEvent	TouchEvent (cursorPosition=312): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=753.0, y[0]=136.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=422670044, downTime=422669969, deviceId=6, source=0x1002, displayId=0 }
1647340680852	PolyGesture	InputEvent	SelectionChanged 132 132

1647340680874	PolyGesture	InputEvent	BeginBatchEdit

1647340680908	PolyGesture	InputEvent	BeginBatchEdit

1647340681100	PolyGesture	InputEvent	BeginBatchEdit

1647340681529	PolyGesture	InputEvent	BeginBatchEdit

1647340681548	PolyGesture	InputEvent	SelectionChanged 0 0

1647340681551	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 514 514

1647340681558	PolyGesture	InputEvent	SelectionChanged 131 131

1647340681559	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 131 1 0

1647340681563	PolyGesture	InputEvent	SelectionChanged 131 131

1647340681573	PolyGesture	InputEvent	BeginBatchEdit

1647340681579	PolyGesture	InputEvent	BeginBatchEdit

1647340681580	PolyGesture	InputEvent	BeginBatchEdit

1647340681587	PolyGesture	InputEvent	BeginBatchEdit

1647340681589	PolyGesture	InputEvent	BeginBatchEdit

1647340681592	PolyGesture	InputEvent	BeginBatchEdit

1647340681594	PolyGesture	InputEvent	BeginBatchEdit

1647340681796	PolyGesture	InputEvent	BeginBatchEdit

