1647341077174	PolyGesture	InputEvent	BeginBatchEdit

1647341077185	PolyGesture	InputEvent	BeginBatchEdit

1647341077387	PolyGesture	InputEvent	BeginBatchEdit

1647341077929	PolyGesture	InputEvent	BeginBatchEdit

1647341077950	PolyGesture	InputEvent	SelectionChanged 0 0

1647341077953	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 515 515

1647341077960	PolyGesture	InputEvent	SelectionChanged 131 131

1647341077961	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 131 1 0

1647341077965	PolyGesture	InputEvent	SelectionChanged 131 131

1647341077975	PolyGesture	InputEvent	BeginBatchEdit

1647341077981	PolyGesture	InputEvent	BeginBatchEdit

1647341077981	PolyGesture	InputEvent	BeginBatchEdit

1647341077989	PolyGesture	InputEvent	BeginBatchEdit

1647341077991	PolyGesture	InputEvent	BeginBatchEdit

1647341077993	PolyGesture	InputEvent	BeginBatchEdit

1647341077996	PolyGesture	InputEvent	BeginBatchEdit

1647341078197	PolyGesture	InputEvent	BeginBatchEdit

1647341078519	PolyGesture	InputEvent	TouchEvent (cursorPosition=131): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=973.0, y[0]=401.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=423067718, downTime=423067718, deviceId=6, source=0x1002, displayId=0 }
1647341078561	PolyGesture	InputEvent	TouchEvent (cursorPosition=131): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=973.0, y[0]=401.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=423067761, downTime=423067718, deviceId=6, source=0x1002, displayId=0 }
1647341078568	PolyGesture	InputEvent	SelectionChanged 312 312

1647341078603	PolyGesture	InputEvent	BeginBatchEdit

1647341078636	PolyGesture	InputEvent	BeginBatchEdit

1647341078837	PolyGesture	InputEvent	BeginBatchEdit

1647341079143	PolyGesture	InputEvent	BeginBatchEdit

1647341079163	PolyGesture	InputEvent	SelectionChanged 0 0

1647341079166	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 514 514

1647341079173	PolyGesture	InputEvent	SelectionChanged 311 311

1647341079175	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 311 1 0

1647341079179	PolyGesture	InputEvent	SelectionChanged 311 311

1647341079188	PolyGesture	InputEvent	BeginBatchEdit

1647341079193	PolyGesture	InputEvent	BeginBatchEdit

1647341079194	PolyGesture	InputEvent	BeginBatchEdit

1647341079200	PolyGesture	InputEvent	BeginBatchEdit

1647341079202	PolyGesture	InputEvent	BeginBatchEdit

1647341079205	PolyGesture	InputEvent	BeginBatchEdit

1647341079207	PolyGesture	InputEvent	BeginBatchEdit

1647341079409	PolyGesture	InputEvent	BeginBatchEdit

1647341079815	PolyGesture	InputEvent	TouchEvent (cursorPosition=311): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=680.0, y[0]=562.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=423069005, downTime=423069005, deviceId=6, source=0x1002, displayId=0 }
1647341079880	PolyGesture	InputEvent	TouchEvent (cursorPosition=311): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=680.0, y[0]=562.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=423069080, downTime=423069005, deviceId=6, source=0x1002, displayId=0 }
1647341079887	PolyGesture	InputEvent	SelectionChanged 437 437

1647341079913	PolyGesture	InputEvent	BeginBatchEdit

1647341079948	PolyGesture	InputEvent	BeginBatchEdit

1647341080140	PolyGesture	InputEvent	BeginBatchEdit

1647341081222	PolyGesture	InputEvent	TouchEvent (cursorPosition=437): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=656.0, y[0]=572.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=423070413, downTime=423070413, deviceId=6, source=0x1002, displayId=0 }
1647341081288	PolyGesture	InputEvent	TouchEvent (cursorPosition=437): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=656.0, y[0]=572.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=423070488, downTime=423070413, deviceId=6, source=0x1002, displayId=0 }
1647341081305	PolyGesture	InputEvent	SelectionChanged 436 436

1647341081327	PolyGesture	InputEvent	BeginBatchEdit

1647341081362	PolyGesture	InputEvent	BeginBatchEdit

1647341081554	PolyGesture	InputEvent	BeginBatchEdit

1647341081879	PolyGesture	InputEvent	BeginBatchEdit

1647341081897	PolyGesture	InputEvent	SelectionChanged 0 0

1647341081900	PolyGesture	TaskCompleted	Cancella carattere in 11"237 seconds (at 423071100, effective time: 9"104)

***************************************


1647341081913	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 0 513 513

1647341081918	PolyGesture	InputEvent	SelectionChanged 435 435

1647341081919	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 435 1 0

1647341081925	PolyGesture	InputEvent	SelectionChanged 435 435

1647341081934	PolyGesture	InputEvent	BeginBatchEdit

1647341081984	PolyGesture	InputEvent	BeginBatchEdit

1647341081984	PolyGesture	InputEvent	BeginBatchEdit

1647341081985	PolyGesture	InputEvent	BeginBatchEdit

1647341081988	PolyGesture	InputEvent	BeginBatchEdit

1647341081991	PolyGesture	InputEvent	BeginBatchEdit

1647341081994	PolyGesture	InputEvent	BeginBatchEdit

1647341082170	PolyGesture	InputEvent	TouchEvent (cursorPosition=435): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=633.0, y[0]=1105.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=423071361, downTime=423071361, deviceId=6, source=0x1002, displayId=0 }
1647341082188	PolyGesture	InputEvent	TouchEvent (cursorPosition=435): MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=620.0, y[0]=1098.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=423071388, downTime=423071361, deviceId=6, source=0x1002, displayId=0 }
1647341082194	PolyGesture	InputEvent	BeginBatchEdit

1647341082201	PolyGesture	InputEvent	TouchEvent (cursorPosition=435): MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=615.60944, y[0]=1098.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=1, eventTime=423071396, downTime=423071361, deviceId=6, source=0x1002, displayId=0 }
1647341082214	PolyGesture	InputEvent	TouchEvent (cursorPosition=435): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=616.0, y[0]=1098.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=423071415, downTime=423071361, deviceId=6, source=0x1002, displayId=0 }
1647341082222	PolyGesture	InputEvent	SelectionChanged 513 513

1647341082240	PolyGesture	InputEvent	BeginBatchEdit

1647341082277	PolyGesture	InputEvent	BeginBatchEdit

1647341082490	PolyGesture	InputEvent	BeginBatchEdit

1647341083422	PolyGesture	InputEvent	KeyDown 4 KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_BACK, scanCode=0, metaState=0, flags=0x8, repeatCount=0, eventTime=423072617, downTime=423072617, deviceId=-1, source=0x101, displayId=0 }

1647341083425	PolyGesture	InputEvent	BeginBatchEdit

1647341083498	PolyGesture	InputEvent	WindowFocusChanged false

1647341083526	PolyGesture	InputEvent	BeginBatchEdit

1647341083527	PolyGesture	InputEvent	BeginBatchEdit

