1647343696097	PolyGesture	InputEvent	TouchEvent (cursorPosition=185): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=354.0, y[0]=125.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425565772, downTime=425565772, deviceId=6, source=0x1002, displayId=0 }
1647343696129	PolyGesture	InputEvent	TouchEvent (cursorPosition=185): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=354.0, y[0]=125.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425565814, downTime=425565772, deviceId=6, source=0x1002, displayId=0 }
1647343696146	PolyGesture	InputEvent	SelectionChanged 131 131

1647343696170	PolyGesture	InputEvent	BeginBatchEdit

1647343696206	PolyGesture	InputEvent	BeginBatchEdit

1647343696398	PolyGesture	InputEvent	BeginBatchEdit

1647343696975	PolyGesture	InputEvent	SelectionChanged 132 132

1647343696988	PolyGesture	InputEvent	BeginBatchEdit

1647343697001	PolyGesture	InputEvent	BeginBatchEdit

1647343697204	PolyGesture	InputEvent	BeginBatchEdit

1647343697395	PolyGesture	InputEvent	BeginBatchEdit

1647343697424	PolyGesture	InputEvent	SelectionChanged 0 0

1647343697427	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 515 515

1647343697433	PolyGesture	InputEvent	SelectionChanged 131 131

1647343697434	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 131 1 0

1647343697437	PolyGesture	InputEvent	SelectionChanged 131 131

1647343697446	PolyGesture	InputEvent	BeginBatchEdit

1647343697452	PolyGesture	InputEvent	BeginBatchEdit

1647343697452	PolyGesture	InputEvent	BeginBatchEdit

1647343697459	PolyGesture	InputEvent	BeginBatchEdit

1647343697463	PolyGesture	InputEvent	BeginBatchEdit

1647343697463	PolyGesture	InputEvent	BeginBatchEdit

1647343697465	PolyGesture	InputEvent	BeginBatchEdit

1647343697666	PolyGesture	InputEvent	BeginBatchEdit

1647343698016	PolyGesture	InputEvent	TouchEvent (cursorPosition=131): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=730.0, y[0]=255.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425567692, downTime=425567692, deviceId=6, source=0x1002, displayId=0 }
1647343698054	PolyGesture	InputEvent	TouchEvent (cursorPosition=131): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=730.0, y[0]=255.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425567740, downTime=425567692, deviceId=6, source=0x1002, displayId=0 }
1647343698062	PolyGesture	InputEvent	SelectionChanged 311 311

1647343698089	PolyGesture	InputEvent	BeginBatchEdit

1647343698127	PolyGesture	InputEvent	BeginBatchEdit

1647343698336	PolyGesture	InputEvent	BeginBatchEdit

1647343698866	PolyGesture	InputEvent	SelectionChanged 312 312

1647343698879	PolyGesture	InputEvent	BeginBatchEdit

1647343698894	PolyGesture	InputEvent	BeginBatchEdit

1647343699097	PolyGesture	InputEvent	BeginBatchEdit

1647343699343	PolyGesture	InputEvent	BeginBatchEdit

1647343699369	PolyGesture	InputEvent	SelectionChanged 0 0

1647343699371	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 514 514

1647343699379	PolyGesture	InputEvent	SelectionChanged 311 311

1647343699380	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 311 1 0

1647343699383	PolyGesture	InputEvent	SelectionChanged 311 311

1647343699393	PolyGesture	InputEvent	BeginBatchEdit

1647343699398	PolyGesture	InputEvent	BeginBatchEdit

1647343699399	PolyGesture	InputEvent	BeginBatchEdit

1647343699406	PolyGesture	InputEvent	BeginBatchEdit

1647343699408	PolyGesture	InputEvent	BeginBatchEdit

1647343699408	PolyGesture	InputEvent	BeginBatchEdit

1647343699410	PolyGesture	InputEvent	BeginBatchEdit

1647343699611	PolyGesture	InputEvent	BeginBatchEdit

1647343699906	PolyGesture	InputEvent	TouchEvent (cursorPosition=311): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=921.0, y[0]=364.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425569590, downTime=425569590, deviceId=6, source=0x1002, displayId=0 }
1647343699946	PolyGesture	InputEvent	TouchEvent (cursorPosition=311): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=921.0, y[0]=364.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425569632, downTime=425569590, deviceId=6, source=0x1002, displayId=0 }
1647343699954	PolyGesture	InputEvent	SelectionChanged 435 435

1647343699980	PolyGesture	InputEvent	BeginBatchEdit

1647343700015	PolyGesture	InputEvent	BeginBatchEdit

1647343700207	PolyGesture	InputEvent	BeginBatchEdit

1647343700919	PolyGesture	InputEvent	SelectionChanged 436 436

1647343700940	PolyGesture	InputEvent	BeginBatchEdit

1647343700944	PolyGesture	InputEvent	BeginBatchEdit

1647343701145	PolyGesture	InputEvent	BeginBatchEdit

1647343701487	PolyGesture	InputEvent	BeginBatchEdit

1647343701514	PolyGesture	InputEvent	SelectionChanged 0 0

1647343701516	PolyGesture	TaskCompleted	Cancella carattere in 11"523 seconds (at 425571201, effective time: 9"818)

***************************************


1647343701526	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 0 513 513

1647343701531	PolyGesture	InputEvent	SelectionChanged 435 435

1647343701532	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 435 1 0

1647343701538	PolyGesture	InputEvent	SelectionChanged 435 435

1647343701546	PolyGesture	InputEvent	BeginBatchEdit

1647343701585	PolyGesture	InputEvent	BeginBatchEdit

1647343701585	PolyGesture	InputEvent	BeginBatchEdit

1647343701587	PolyGesture	InputEvent	BeginBatchEdit

1647343701589	PolyGesture	InputEvent	BeginBatchEdit

1647343701595	PolyGesture	InputEvent	BeginBatchEdit

1647343701599	PolyGesture	InputEvent	BeginBatchEdit

1647343701799	PolyGesture	InputEvent	BeginBatchEdit

1647343702647	PolyGesture	InputEvent	KeyDown 4 KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_BACK, scanCode=0, metaState=0, flags=0x8, repeatCount=0, eventTime=425572327, downTime=425572327, deviceId=-1, source=0x101, displayId=0 }

1647343702650	PolyGesture	InputEvent	BeginBatchEdit

1647343702712	PolyGesture	InputEvent	WindowFocusChanged false

1647343702726	PolyGesture	InputEvent	BeginBatchEdit

1647343702727	PolyGesture	InputEvent	BeginBatchEdit

1647343703429	PolyGesture	InputEvent	SelectionChanged 0 0

1647343703430	PolyGesture	InputEvent	TextChanged '' 0 0 0

1647343703514	PolyGesture	InputEvent	SelectionChanged 0 0

1647343703515	PolyGesture	InputEvent	SelectionChanged 0 0

1647343703515	PolyGesture	TaskStarted	Cancella parola

1647343703515	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 534 534

1647343703518	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 0 534

1647343703521	PolyGesture	InputEvent	SelectionChanged 534 534

1647343703541	PolyGesture	InputEvent	FocusChanged true 130 null

