1644605204359	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 131 1 0

1644605204364	PolyGesture	InputEvent	SelectionChanged 131 131

1644605204373	PolyGesture	InputEvent	BeginBatchEdit

1644605204377	PolyGesture	InputEvent	BeginBatchEdit

1644605204377	PolyGesture	InputEvent	BeginBatchEdit

1644605204393	PolyGesture	InputEvent	BeginBatchEdit

1644605204393	PolyGesture	InputEvent	BeginBatchEdit

1644605204395	PolyGesture	InputEvent	BeginBatchEdit

1644605204397	PolyGesture	InputEvent	BeginBatchEdit

1644605204398	PolyGesture	InputEvent	BeginBatchEdit

1644605204399	PolyGesture	InputEvent	BeginBatchEdit

1644605204400	PolyGesture	InputEvent	BeginBatchEdit

1644605204401	PolyGesture	InputEvent	BeginBatchEdit

1644605204402	PolyGesture	InputEvent	BeginBatchEdit

1644605204602	PolyGesture	InputEvent	BeginBatchEdit

1644605204603	PolyGesture	InputEvent	BeginBatchEdit

1644605205052	PolyGesture	InputEvent	TouchEvent (cursorPosition=131): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=948.0, y[0]=385.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=30455975, downTime=30455975, deviceId=4, source=0x1002, displayId=0 }
1644605205138	PolyGesture	InputEvent	TouchEvent (cursorPosition=131): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=948.0, y[0]=385.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=30456063, downTime=30455975, deviceId=4, source=0x1002, displayId=0 }
1644605205151	PolyGesture	InputEvent	SelectionChanged 358 358

1644605205167	PolyGesture	InputEvent	BeginBatchEdit

1644605205191	PolyGesture	InputEvent	BeginBatchEdit

1644605205398	PolyGesture	InputEvent	BeginBatchEdit

1644605205399	PolyGesture	InputEvent	BeginBatchEdit

