1644059506419	PolyGesture	InputEvent	TouchEvent (cursorPosition=438): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=745.1367, y[0]=278.98633, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=156128425, downTime=156128341, deviceId=5, source=0x1002, displayId=0 }
1644059506424	PolyGesture	InputEvent	SelectionChanged 313 313

1644059506493	PolyGesture	InputEvent	BeginBatchEdit

1644059507197	PolyGesture	InputEvent	TouchEvent (cursorPosition=313): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=753.31055, y[0]=278.4297, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=156129206, downTime=156129206, deviceId=5, source=0x1002, displayId=0 }
1644059507273	PolyGesture	InputEvent	TouchEvent (cursorPosition=313): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=753.31055, y[0]=278.4297, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=156129281, downTime=156129206, deviceId=5, source=0x1002, displayId=0 }
1644059508308	PolyGesture	InputEvent	SelectionChanged 314 314

1644059508329	PolyGesture	InputEvent	BeginBatchEdit

1644059508385	PolyGesture	InputEvent	SelectionChanged 315 315

1644059508455	PolyGesture	InputEvent	BeginBatchEdit

1644059508912	PolyGesture	InputEvent	SelectionChanged 314 314

1644059508967	PolyGesture	InputEvent	BeginBatchEdit

1644059509048	PolyGesture	InputEvent	SelectionChanged 315 315

1644059509067	PolyGesture	InputEvent	BeginBatchEdit

1644059510049	PolyGesture	InputEvent	BeginBatchEdit

1644059510050	PolyGesture	InputEvent	KeyDown 67 KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_DEL, scanCode=0, metaState=0, flags=0x6, repeatCount=0, eventTime=156132061, downTime=156132061, deviceId=-1, source=0x0, displayId=0 }

1644059510054	PolyGesture	InputEvent	BeginBatchEdit

1644059510069	PolyGesture	InputEvent	SelectionChanged 0 0

